CD_STAT_SECTOR,prop_type,total_sales
12021A4MA,apartments,1
12021A4PA,apartments,1
12021B000,apartments,94
12021B012,apartments,2
12021B0PA,apartments,5
12021_UNKNOWN,apartments,11
12025A00-,apartments,59
12025A011,apartments,56
12025A02-,apartments,141
12025A031,apartments,123
12025A041,apartments,17
12025A05-,apartments,128
12025A06-,apartments,321
12025A10-,apartments,361
12025A11-,apartments,139
12025A12-,apartments,107
12025A192,apartments,1
12025A20-,apartments,60
12025A21-,apartments,33
12025A22-,apartments,117
12025A23-,apartments,38
12025A301,apartments,119
12025A31-,apartments,56
12025A32-,apartments,28
12025A332,apartments,173
12025A342,apartments,25
12025A401,apartments,66
12025A410,apartments,54
12025A42-,apartments,59
12025A430,apartments,10
12025A441,apartments,11
12025A45-,apartments,35
12025A462,apartments,65
12025A50-,apartments,50
12025A51-,apartments,16
12025A521,apartments,39
12025A532,apartments,5
12025A57-,apartments,5
12025A60-,apartments,98
12025A61-,apartments,6
12025A620,apartments,394
12025A631,apartments,6
12025A64-,apartments,33
12025A662,apartments,15
12025A67-,apartments,1
12025A690,apartments,96
12025A6MJ,apartments,9
12025A70-,apartments,88
12025A77-,apartments,17
12025A7MJ,apartments,6
12025A80-,apartments,5
12025A810,apartments,67
12025A82-,apartments,6
12025A899,apartments,3
12025A912,apartments,241
12025A921,apartments,178
12025A932,apartments,20
12025A942,apartments,107
12025A952,apartments,153
12025B000,apartments,48
12025B020,apartments,1
12025C00-,apartments,3
12025C022,apartments,1
12025D00-,apartments,16
12025D091,apartments,1
12025E001,apartments,56
12025F00-,apartments,9
12025F02-,apartments,12
12025F032,apartments,5
12025F052,apartments,1
12025F200,apartments,25
12025F312,apartments,4
12025_UNKNOWN,apartments,15
12026A00-,apartments,85
12026A01-,apartments,37
12026A02-,apartments,2
12026A040,apartments,130
12026A05-,apartments,5
12026A111,apartments,8
12026A122,apartments,50
12026B00-,apartments,5
12026C000,apartments,99
12026C012,apartments,2
12026C10-,apartments,33
12026C112,apartments,4
12026_UNKNOWN,apartments,12
12029A00-,apartments,130
12029A01-,apartments,51
12029A020,apartments,35
12029A03-,apartments,1
12029A042,apartments,10
12029A091,apartments,3
12029A10-,apartments,24
12029A20-,apartments,6
12029A21-,apartments,19
12029B000,apartments,57
12029B01-,apartments,14
12029B020,apartments,4
12029B19-,apartments,16
12029_UNKNOWN,apartments,7
