CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR
11009A5AA,360000.0,2023
11009A5AA,352500.0,2023
11009C01-,367500.0,2023
11009C01-,408000.0,2023
11009C020,447000.0,2023
11009C03-,309250.0,2023
11013A00-,307000.0,2023
11013A00-,307000.0,2023
11013A01-,220000.0,2023
11013A02-,260000.0,2023
11013A101,450000.0,2023
11013A101,476500.0,2023
11013A142,464700.0,2023
11013A142,470000.0,2023
11013A20-,390000.0,2023
11013A20-,390000.0,2023
11016A042,312500.0,2023
11016A501,352000.0,2023
11016A501,445000.0,2023
11018A021,278350.0,2023
11018A021,278350.0,2023
11018A101,230000.0,2023
11018A101,230000.0,2023
11021A00-,390000.0,2023
11021A00-,391000.0,2023
11021A062,618750.0,2023
11022A21-,702500.0,2023
11022A21-,695000.0,2023
11023A00-,305000.0,2023
11023A00-,307500.0,2023
11023A00-,290000.0,2023
11023A02-,405000.0,2023
11023A02-,181750.0,2023
11023A03-,292000.0,2023
11023A03-,292000.0,2023
11023A10-,340500.0,2023
11023A200,735000.0,2023
11023A200,705000.0,2023
11023B32-,572500.0,2023
11023B32-,572500.0,2023
11023B330,225000.0,2023
11023B40-,496500.0,2023
11024A00-,350750.0,2023
11024A00-,352500.0,2023
11024A00-,293500.0,2023
11024A01-,334000.0,2023
11024A04-,359000.0,2023
11024A220,395000.0,2023
11029A00-,390000.0,2023
11029A00-,390000.0,2023
11029A00-,250000.0,2023
11029A02-,400000.0,2023
11029A02-,400000.0,2023
11029A11-,439000.0,2023
11029A11-,434500.0,2023
11029A12-,400000.0,2023
11029A12-,400000.0,2023
11029A201,367500.0,2023
11029A201,375000.0,2023
11029A201,232500.0,2023
11029A211,522000.0,2023
11029A242,261000.0,2023
11030A00-,270000.0,2023
11030A00-,270000.0,2023
11030A00-,197500.0,2023
11030A01-,235000.0,2023
11030A01-,235000.0,2023
11030A02-,220000.0,2023
11030A02-,234500.0,2023
11030A03-,270000.0,2023
11030A03-,270000.0,2023
11030A10-,207500.0,2023
11030A10-,207500.0,2023
11035B00-,415000.0,2023
11037A02-,277500.0,2023
11037A02-,277500.0,2023
11037C100,336250.0,2023
11037C100,392000.0,2023
11038A000,297500.0,2023
11038A000,305000.0,2023
11038A010,273000.0,2023
11038A010,277500.0,2023
11039A00-,435000.0,2023
11039A010,415000.0,2023
11039A010,415000.0,2023
11039A04-,489000.0,2023
11039A21-,670000.0,2023
11039A21-,670000.0,2023
11039B02-,675000.0,2023
11039B02-,685000.0,2023
11040A00-,225000.0,2023
11040A01-,337500.0,2023
11040A01-,337500.0,2023
11040A03-,346698.0,2023
11040A03-,346698.0,2023
11040A03-,270000.0,2023
11040A040,352500.0,2023
11040A040,355000.0,2023
11040A050,341000.0,2023
11040A050,341000.0,2023
11040A060,360000.0,2023
11040A060,400000.0,2023
11040A10-,355000.0,2023
11040A10-,362500.0,2023
11040A11-,775000.0,2023
11040A11-,725000.0,2023
11040A201,326000.0,2023
11040A201,326000.0,2023
11040A201,230000.0,2023
11040A253,270000.0,2023
11040A253,270000.0,2023
11044A001,339000.0,2023
11044A001,348500.0,2023
11044A001,230000.0,2023
11044A032,349500.0,2023
11044A032,350000.0,2023
11044A042,380000.0,2023
11044B001,310000.0,2023
11044B001,310000.0,2023
11044B022,325000.0,2023
11044B022,335000.0,2023
11044B022,215000.0,2023
11050A000,307000.0,2023
11050A000,310000.0,2023
11050A000,296500.0,2023
11052A02-,395000.0,2023
11052A02-,395000.0,2023
11052A041,375000.0,2023
11052A100,365000.0,2023
11052A100,369000.0,2023
11055A10-,324000.0,2023
11055A224,467500.0,2023
11055B110,603000.0,2023
11055B110,483750.0,2023
11056A220,305000.0,2023
11056A220,305000.0,2023
11056B00-,292500.0,2023
11056B00-,292500.0,2023
11056B00-,260000.0,2023
11056B01-,270000.0,2023
11056B01-,270000.0,2023
11056B02-,287500.0,2023
11056B02-,287500.0,2023
11057A00-,229000.0,2023
12002A012,320000.0,2023
12002A012,315000.0,2023
12002A300,294000.0,2023
12005A000,338000.0,2023
12005A000,336500.0,2023
12005A02-,430000.0,2023
12005B01-,432500.0,2023
12007A001,244500.0,2023
12007A001,247251.0,2023
12007A001,288500.0,2023
12007A021,313500.0,2023
12009A000,285750.0,2023
12009A000,272875.0,2023
12009A200,295000.0,2023
12009A200,295000.0,2023
12009A200,269000.0,2023
12014A391,400000.0,2023
12014A391,400000.0,2023
12014F091,312500.0,2023
12014F091,305000.0,2023
12021A00-,197000.0,2023
12021A00-,197000.0,2023
12021A02-,249000.0,2023
12021A02-,249000.0,2023
12021A02-,235000.0,2023
12021A03-,241500.0,2023
12021A03-,241500.0,2023
12021A03-,255000.0,2023
