CD_STAT_SECTOR,prop_type,total_sales
11025A19-,2-3 facades house,1
11025_UNKNOWN,2-3 facades house,7
11029A00-,2-3 facades house,259
11029A01-,2-3 facades house,150
11029A02-,2-3 facades house,245
11029A041,2-3 facades house,23
11029A07-,2-3 facades house,18
11029A10-,2-3 facades house,156
11029A11-,2-3 facades house,366
11029A12-,2-3 facades house,150
11029A13-,2-3 facades house,131
11029A14-,2-3 facades house,35
11029A172,2-3 facades house,38
11029A201,2-3 facades house,257
11029A211,2-3 facades house,112
11029A22-,2-3 facades house,14
11029A232,2-3 facades house,14
11029A242,2-3 facades house,115
11029A301,2-3 facades house,91
11029A372,2-3 facades house,2
11029_UNKNOWN,2-3 facades house,10
11030A00-,2-3 facades house,582
11030A01-,2-3 facades house,254
11030A02-,2-3 facades house,197
11030A03-,2-3 facades house,178
11030A091,2-3 facades house,1
11030A10-,2-3 facades house,265
11030A17-,2-3 facades house,23
11030_UNKNOWN,2-3 facades house,11
11035A000,2-3 facades house,91
11035A01-,2-3 facades house,116
11035A022,2-3 facades house,27
11035A08-,2-3 facades house,14
11035A091,2-3 facades house,5
11035A10-,2-3 facades house,18
11035A20-,2-3 facades house,12
11035A29-,2-3 facades house,2
11035A30-,2-3 facades house,8
11035A39-,2-3 facades house,2
11035B00-,2-3 facades house,116
11035B010,2-3 facades house,25
11035B02-,2-3 facades house,25
11035B032,2-3 facades house,32
11035B043,2-3 facades house,22
11035B080,2-3 facades house,3
11035B2MA,2-3 facades house,9
11035B2PA,2-3 facades house,6
11035C00-,2-3 facades house,95
11035C01-,2-3 facades house,65
11035C022,2-3 facades house,8
11035C09-,2-3 facades house,25
11035C19-,2-3 facades house,1
11035C29-,2-3 facades house,3
11035C39-,2-3 facades house,10
11035D001,2-3 facades house,56
11035D012,2-3 facades house,7
11035D0AA,2-3 facades house,22
11035D0PA,2-3 facades house,6
11035D10-,2-3 facades house,130
11035_UNKNOWN,2-3 facades house,21
11037A01-,2-3 facades house,63
11037A02-,2-3 facades house,196
11037A032,2-3 facades house,6
11037A080,2-3 facades house,33
11037A091,2-3 facades house,33
11037A0ON,2-3 facades house,169
11037A10-,2-3 facades house,23
11037A19-,2-3 facades house,35
11037B00-,2-3 facades house,194
11037B01-,2-3 facades house,104
11037B022,2-3 facades house,81
11037B091,2-3 facades house,73
11037C000,2-3 facades house,101
11037C010,2-3 facades house,56
11037C022,2-3 facades house,26
11037C081,2-3 facades house,7
11037C090,2-3 facades house,14
11037C100,2-3 facades house,122
11037C110,2-3 facades house,13
11037C12-,2-3 facades house,77
11037C180,2-3 facades house,3
11037C19-,2-3 facades house,24
11037C20-,2-3 facades house,31
11037_UNKNOWN,2-3 facades house,18
11038A000,2-3 facades house,256
11038A010,2-3 facades house,266
11038A020,2-3 facades house,148
11038A030,2-3 facades house,39
11038A04-,2-3 facades house,51
11038A070,2-3 facades house,15
11038A1AR,2-3 facades house,3
11038A1BR,2-3 facades house,4
11038_UNKNOWN,2-3 facades house,10
11039A00-,2-3 facades house,125
11039A010,2-3 facades house,176
11039A02-,2-3 facades house,71
11039A03-,2-3 facades house,23
11039A04-,2-3 facades house,47
11039A081,2-3 facades house,5
11039A10-,2-3 facades house,11
11039A11-,2-3 facades house,12
11039A20-,2-3 facades house,4
11039A21-,2-3 facades house,3
11039A22-,2-3 facades house,4
11039B000,2-3 facades house,104
11039B01-,2-3 facades house,39
11039B02-,2-3 facades house,3
11039B08-,2-3 facades house,9
11039B091,2-3 facades house,3
11039B10-,2-3 facades house,4
11039B19-,2-3 facades house,1
11039_UNKNOWN,2-3 facades house,12
11040A00-,2-3 facades house,196
11040A01-,2-3 facades house,172
11040A02-,2-3 facades house,144
11040A03-,2-3 facades house,197
11040A040,2-3 facades house,356
11040A050,2-3 facades house,240
11040A060,2-3 facades house,250
11040A072,2-3 facades house,14
11040A0AA,2-3 facades house,2
11040A0PA,2-3 facades house,7
11040A10-,2-3 facades house,285
11040A11-,2-3 facades house,35
11040A12-,2-3 facades house,71
11040A13-,2-3 facades house,21
11040A14-,2-3 facades house,19
11040A182,2-3 facades house,7
11040A201,2-3 facades house,171
11040A211,2-3 facades house,110
11040A222,2-3 facades house,49
11040A232,2-3 facades house,57
11040A242,2-3 facades house,62
11040A253,2-3 facades house,228
11040A27-,2-3 facades house,28
11040A30-,2-3 facades house,68
11040A312,2-3 facades house,2
11040A40-,2-3 facades house,28
11040A410,2-3 facades house,1
11040A50-,2-3 facades house,1
11040A67-,2-3 facades house,8
11040_UNKNOWN,2-3 facades house,22
11044A001,2-3 facades house,191
11044A010,2-3 facades house,8
11044A02-,2-3 facades house,58
11044A032,2-3 facades house,242
11044A042,2-3 facades house,120
11044A0PN,2-3 facades house,3
11044A10-,2-3 facades house,163
11044A112,2-3 facades house,34
11044A191,2-3 facades house,1
11044A21-,2-3 facades house,83
11044B001,2-3 facades house,229
11044B012,2-3 facades house,114
11044B022,2-3 facades house,367
11044B100,2-3 facades house,30
11044B11-,2-3 facades house,28
11044_UNKNOWN,2-3 facades house,16
11050A000,2-3 facades house,335
11050A01-,2-3 facades house,116
11050A02-,2-3 facades house,68
11050A03-,2-3 facades house,126
11050A04-,2-3 facades house,74
11050A052,2-3 facades house,20
11050A100,2-3 facades house,69
11050A110,2-3 facades house,4
11050A19-,2-3 facades house,12
11050A274,2-3 facades house,37
11050_UNKNOWN,2-3 facades house,8
11052A00-,2-3 facades house,112
11052A010,2-3 facades house,78
11052A02-,2-3 facades house,154
11052A03-,2-3 facades house,41
11052A041,2-3 facades house,96
11052A052,2-3 facades house,20
11052A072,2-3 facades house,15
11052A08-,2-3 facades house,2
11052A091,2-3 facades house,5
11052A100,2-3 facades house,162
11052A110,2-3 facades house,29
11052A12-,2-3 facades house,9
11052A180,2-3 facades house,7
11052A191,2-3 facades house,2
11052A200,2-3 facades house,26
11052A212,2-3 facades house,24
11052A290,2-3 facades house,2
11052A3PA,2-3 facades house,22
11052_UNKNOWN,2-3 facades house,15
11053A000,2-3 facades house,85
11053A02-,2-3 facades house,35
11053A03-,2-3 facades house,30
11053A04-,2-3 facades house,6
11053A052,2-3 facades house,68
11053A091,2-3 facades house,2
11053A101,2-3 facades house,120
11053A11-,2-3 facades house,4
11053A122,2-3 facades house,75
11053A132,2-3 facades house,12
11053A1AA,2-3 facades house,1
11053A1BB,2-3 facades house,1
11053A1PA,2-3 facades house,7
11053A1QB,2-3 facades house,1
11053A21-,2-3 facades house,2
11053A29-,2-3 facades house,4
11053A381,2-3 facades house,1
11053A400,2-3 facades house,24
11053A49-,2-3 facades house,1
11053A610,2-3 facades house,16
11053A681,2-3 facades house,11
11053B000,2-3 facades house,87
11053B022,2-3 facades house,9
11053B033,2-3 facades house,5
11053B081,2-3 facades house,4
11053B09-,2-3 facades house,2
11053B18-,2-3 facades house,1
11053B19-,2-3 facades house,1
11053_UNKNOWN,2-3 facades house,13
11054A00-,2-3 facades house,77
11054A01-,2-3 facades house,25
11054A02-,2-3 facades house,4
11054A0AA,2-3 facades house,3
11054A0BA,2-3 facades house,12
11054A0PA,2-3 facades house,5
11054A19-,2-3 facades house,4
11054B00-,2-3 facades house,11
11054B01-,2-3 facades house,8
11054B022,2-3 facades house,8
11054B091,2-3 facades house,3
11054C00-,2-3 facades house,40
11054C01-,2-3 facades house,15
11054C081,2-3 facades house,1
11054C0PA,2-3 facades house,1
11054C112,2-3 facades house,2
11054D00-,2-3 facades house,36
11054D08-,2-3 facades house,5
11054D0AA,2-3 facades house,2
11054D19-,2-3 facades house,5
11054E00-,2-3 facades house,13
11054E01-,2-3 facades house,1
11054E022,2-3 facades house,2
11054E08-,2-3 facades house,11
11054E091,2-3 facades house,1
11054_UNKNOWN,2-3 facades house,7
11055A000,2-3 facades house,71
11055A02-,2-3 facades house,9
11055A03-,2-3 facades house,1
11055A0PN,2-3 facades house,5
11055A10-,2-3 facades house,74
11055A11-,2-3 facades house,71
11055A142,2-3 facades house,14
11055A152,2-3 facades house,50
11055A191,2-3 facades house,1
11055A213,2-3 facades house,5
11055A224,2-3 facades house,20
11055A235,2-3 facades house,3
11055A293,2-3 facades house,1
11055A313,2-3 facades house,3
11055B000,2-3 facades house,29
