CD_STAT_SECTOR,total_sales_2013_2024
12021A01-,234
12021A02-,899
12021A03-,666
12021A04-,160
12021A051,430
12021A101,717
12021A111,44
12021A122,156
12021A132,210
12021A18-,90
12021A19-,217
12021A200,533
12021A212,204
12021A291,108
12021A301,900
12021A311,413
12021A322,237
12021A333,140
12021A342,147
12021A353,90
12021A40-,868
12021A411,226
12021A422,42
12021A473,41
12021A4MA,13
12021A4PA,33
12021A512,108
12021B000,360
12021B012,182
12021B023,88
12021B0MA,14
12021B0PA,293
12021_UNKNOWN,81
12025A00-,119
12025A011,236
12025A02-,257
12025A031,245
12025A041,41
12025A05-,208
12025A06-,641
12025A10-,659
12025A11-,289
12025A12-,673
12025A131,4
12025A182,8
12025A192,25
12025A20-,988
12025A21-,331
12025A22-,685
12025A23-,304
12025A245,42
12025A256,60
12025A297,2
12025A301,899
12025A31-,226
12025A32-,176
12025A332,689
12025A342,217
12025A401,620
12025A410,462
12025A42-,501
12025A430,78
12025A441,297
12025A45-,171
12025A462,405
12025A470,22
12025A480,6
12025A50-,786
12025A51-,146
12025A521,287
12025A532,185
12025A57-,13
12025A580,4
12025A60-,242
12025A61-,68
12025A620,804
12025A631,34
12025A64-,131
12025A662,535
12025A67-,47
12025A690,96
12025A6MJ,43
12025A70-,890
12025A77-,155
12025A7MJ,44
12025A80-,253
12025A810,305
12025A82-,118
12025A830,94
12025A84-,44
12025A88-,24
12025A899,47
12025A912,393
12025A921,658
12025A932,254
12025A942,523
12025A952,365
12025B000,332
12025B01-,34
12025B020,123
12025B032,104
12025B042,12
12025B081,76
12025B091,124
12025C00-,107
12025C01-,50
12025C022,95
12025C091,144
12025D00-,164
12025D012,124
12025D091,143
12025E001,368
12025E012,118
12025F00-,351
12025F01-,20
12025F02-,100
12025F032,139
12025F041,40
12025F052,55
12025F102,92
12025F191,40
12025F200,391
12025F290,30
12025F312,44
12025F391,50
12025_UNKNOWN,197
12026A00-,191
12026A01-,535
12026A02-,320
12026A040,760
12026A05-,237
12026A09-,38
12026A0PN,106
12026A111,354
12026A122,552
12026B00-,335
12026B01-,74
12026B09-,56
12026C000,607
12026C012,232
12026C080,98
12026C091,84
12026C10-,305
12026C112,222
12026C123,82
12026C191,46
12026_UNKNOWN,132
12029A00-,462
12029A01-,135
12029A020,255
12029A03-,33
12029A042,92
12029A083,278
12029A091,255
12029A10-,104
12029A19-,272
12029A20-,22
12029A21-,55
12029A22-,16
12029A292,34
12029A2AW,40
12029A2PW,54
12029A393,18
12029B000,471
12029B01-,194
12029B020,422
12029B082,70
12029B091,82
12029B19-,142
12029_UNKNOWN,87
12030A000,356
12030A01-,261
12030A020,162
12030A032,46
12030A083,10
12030A091,18
12030A100,165
12030A110,56
12030A12-,60
12030A132,29
12030A143,46
12030A175,10
12030A186,70
12030A191,26
12030A212,56
12030A291,86
12030A310,45
12030B000,275
12030B081,84
12030B0AA,50
12030B0MA,4
12030B0PA,68
12030B101,130
12030B112,393
12030B192,6
12030B210,80
12030B272,6
12030C000,452
12030C020,96
12030C044,2
12030C091,116
12030D000,79
12030D012,22
12030D063,60
12030D080,45
12030D091,68
12030_UNKNOWN,77
12034A00-,310
12034A01-,171
12034A02-,158
12034A03-,114
12034A04-,32
12034A08-,16
12034A091,37
12034A112,172
12034A123,52
12034B00-,89
12034B010,68
12034B02-,34
12034B032,96
12034B091,50
12034C000,40
12034C01-,109
12034C022,8
12034C091,20
12034_UNKNOWN,29
12035A001,184
12035A011,135
12035A022,55
12035A032,193
12035A042,174
12035A072,96
12035A081,184
12035A091,179
12035A101,473
12035A110,464
12035A123,88
12035A200,298
12035A211,123
12035A222,98
12035A233,34
12035A244,104
12035A282,34
12035A291,122
12035B00-,164
12035B01-,87
12035B02-,60
12035B032,106
12035B0AA,83
12035B0PA,295
12035B191,8
12035_UNKNOWN,71
12040A00-,322
12040A01-,613
12040A04-,313
12040A071,32
12040A0PA,4
12040A10-,238
12040A21-,241
12040A221,73
12040A23-,32
12040A243,314
12040A294,12
12040A311,314
12040A320,105
12040A332,148
12040A372,20
12040A411,1047
12040A422,344
12040A433,28
12040A512,673
12040B000,58
12040B090,81
12040C000,601
12040C010,329
12040C02-,83
12040C090,64
12040D00-,223
12040D011,206
12040D022,96
12040D072,23
12040D091,82
12040D0MA,4
12040D0PA,60
12040D11-,9
12040D192,4
12040_UNKNOWN,86
12041_UNKNOWN,32
13001A00-,529
13001A01-,481
13001A02-,141
13001A03-,58
13001A04-,132
13001A072,10
13001A091,84
13001A0PA,196
13001A100,179
13001A19-,16
13001A212,86
13001A221,287
13001A230,436
13001A3MJ,2
13001_UNKNOWN,64
13002A000,198
13002A012,148
13002A023,78
13002A091,16
13002A10-,40
13002A19-,36
13002_UNKNOWN,4
13003A00-,353
13003A011,235
13003A02-,162
13003A03-,228
13003A04-,257
13003A05-,292
13003A08-,214
13003A091,22
13003A101,534
13003A20-,126
13003A29-,104
13003A38-,62
13003A39-,79
13003A401,298
13003A412,80
13003A483,2
13003A500,193
13003A51-,48
13003A590,95
13003A612,102
13003A692,134
13003A701,180
13003A711,122
13003A782,172
13003A7MA,2
13003A7PA,26
13003B000,196
13003B01-,44
13003B02-,76
13003B030,112
13003B04-,84
13003B052,50
13003B08-,10
13003B091,50
13003_UNKNOWN,106
13004A001,580
13004A010,355
13004A021,230
13004A032,164
13004A043,244
13004A080,92
13004A0MA,16
13004A0PA,110
13004A101,534
13004A122,132
13004A17-,50
13004A18-,34
13004A191,34
13004A212,116
13004A312,233
13004A323,220
13004B001,162
13004B012,125
13004B091,105
13004B212,98
13004_UNKNOWN,38
13006A000,390
13006A011,115
